"host_total_listings_count","host_has_profile_pic","host_identity_verified","accommodates","bedrooms","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_days_since_joining","host_response_time_category","host_response_rate_percentage","host_acceptance_rate_percentage","host_is_superhost_filled","neighbourhood_grouped","dist_to_dt","property_type_grouped","entire_home_apt","bathrooms_numeric","security","essentials","kitchen_amenities","entertainment","bedroom_amenities","work","parking","toiletries","climate_control","convenience_features","price_numeric"
2,TRUE,TRUE,4,2,2,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,183,25,5,1,5,5,4.92,5,5,4.92,5,FALSE,2,2,0,0,0.26,2972,"within an hour",1,1,TRUE,"Asheville",2.60810209309235,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65
9,TRUE,TRUE,2,NA,1,1,90,1,2,90,90,1.6,90,TRUE,16,33,59,325,363,27,3,4.8,4.89,4.83,4.94,4.93,4.98,4.81,FALSE,9,0,9,0,3.69,3619,"within an hour",1,0.99,FALSE,"Asheville",0.514211776797688,"Private Room",FALSE,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,87
3,TRUE,TRUE,2,1,2,28,28,28,28,28,28,28,28,TRUE,17,47,77,352,189,1,0,4.83,4.9,4.89,4.91,4.94,4.91,4.91,FALSE,2,2,0,0,1.95,3310,"within a day",1,0.67,TRUE,"Asheville",0.998910044315549,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,73
2,TRUE,TRUE,1,1,1,1,1125,1,2,1125,1125,1.6,1125,TRUE,7,23,43,279,26,10,0,4.81,4.92,5,4.92,4.96,5,4.73,FALSE,2,2,0,0,0.5,3061,"within an hour",1,1,TRUE,"Asheville",4.10231360342957,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,325
3,TRUE,TRUE,2,NA,1,2,21,2,2,1125,1125,2,1125,TRUE,17,31,31,168,280,1,0,4.96,4.99,5,5,5,4.97,4.95,FALSE,1,0,1,0,2.86,3013,"within an hour",1,0.75,FALSE,"Asheville",2.65377624642585,"Private Room",FALSE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,43
5,TRUE,TRUE,4,2,2,3,1125,3,4,1125,1125,3.3,1125,TRUE,15,33,63,176,225,17,2,4.72,4.86,4.84,4.93,4.92,4.77,4.61,FALSE,3,3,0,0,2.32,3601,"within an hour",1,1,TRUE,"Asheville",0.694803978200585,"Entire Place",TRUE,1.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,205
1,TRUE,TRUE,4,2,2,1,7,1,2,7,7,1.3,7,TRUE,17,31,31,32,243,70,4,4.86,4.92,4.92,4.97,4.97,4.76,4.81,FALSE,1,1,0,0,2.51,2934,"within an hour",1,1,TRUE,"Asheville",2.96649419359901,"Entire Place",TRUE,1.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,203
1,TRUE,TRUE,8,3,4,2,1125,1,3,1125,1125,1.4,1125,TRUE,5,13,30,252,276,24,2,4.92,4.94,4.9,4.98,4.96,4.89,4.92,TRUE,1,1,0,0,2.83,3209,"within an hour",1,1,TRUE,"Asheville",5.28573057244656,"Entire Place",TRUE,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,125
1,TRUE,TRUE,3,1,1,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,21,111,164,5,0,4.97,4.96,4.98,4.99,4.96,4.88,4.91,FALSE,1,1,0,0,1.69,2931,"N/A",NA,0.75,TRUE,"Arden",10.6027954566781,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,102
11,TRUE,TRUE,1,NA,1,1,365,1,1,1,4,1,3.9,TRUE,24,51,81,356,104,5,1,4.73,4.93,4.69,4.87,4.79,4.82,4.88,FALSE,7,1,2,4,1.08,4375,"within an hour",1,0.98,FALSE,"Others",2.61549942032392,"Shared Room",FALSE,2.5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,28
